date,category,description,amount
2024-01-03,Rent,Office Rent - January,55000
2024-01-05,Utilities,Electricity Bill,14200
2024-01-10,Salaries,Staff Salaries - January,185000
2024-01-15,Marketing,Google Ads Campaign,25000
2024-01-20,Office Supplies,Stationery & Printing,8200
2024-02-02,Rent,Office Rent - February,55000
2024-02-07,Utilities,Water & Sewage,3200
2024-02-12,Salaries,Staff Salaries - February,185000
2024-02-18,Marketing,Social Media Ads,18000
2024-02-22,Office Supplies,New Chairs,12500
2024-03-01,Rent,Office Rent - March,55000
2024-03-06,Utilities,Electricity Bill - March,13800
2024-03-11,Salaries,Staff Salaries - March,185000
2024-03-17,Marketing,Email Campaign,12000
2024-03-23,Maintenance,AC Repair,9500
2024-04-04,Rent,Office Rent - April,55000
2024-04-09,Utilities,Gas Bill,5600
2024-04-14,Salaries,Staff Salaries - April,185000
2024-04-19,Marketing,PR Event,32000
2024-04-24,Office Supplies,New Computers,45000
2024-05-02,Rent,Office Rent - May,55000
2024-05-08,Utilities,Electricity Bill - May,15100
2024-05-13,Salaries,Staff Salaries - May,185000
2024-05-19,Marketing,Influencer Collaboration,22000
2024-05-24,Maintenance,Pest Control,3800